_ 4040 8140
ジ 8357 43C6
ス 8358 438E
ズ 8359 43C7
セ 835A 438F
ゼ 835B 43C8
ソ 835C 4390
ゾ 835D 43C9
タ 835E 4391
ダ 835F 43CA
チ 8360 4392
ヂ 8361 43CB
ッ 8362 4356
ツ 8363 4393
ヅ 8364 43CC
テ 8365 4394
デ 8366 43CD
ト 8367 4395
ド 8368 43CE
ナ 8369 4396
ニ 836A 4397
ヌ 836B 4398
ネ 836C 4399
ノ 836D 439A
ハ 836E 439D
バ 836F 43CF
パ 8370 43D5
ヒ 8371 439E
ビ 8372 43D0
ピ 8373 43D6
フ 8374 439F
ブ 8375 43D1
プ 8376 43D7
ヘ 8377 43A2
ベ 8378 43D2
ペ 8379 43D8
ホ 837A 43A3
ボ 837B 43D3
ポ 837C 43D9
マ 837D 43A4
ミ 837E 43A5
ム 8380 43A6
メ 8381 43A7
モ 8382 43A8
ャ 8383 4353
ヤ 8384 43A9
ュ 8385 4354
ユ 8386 43AA
ョ 8387 4355
ヨ 8388 43AC
ラ 8389 43AD
リ 838A 43AE
ル 838B 43AF
レ 838C 43BA
ロ 838D 43BB
ヮ 838E 4357
ワ 838F 43BC
ヰ 8390 43DA
ヱ 8391 43DB
ヲ 8392 4346
ン 8393 43BD
ヴ 8394 43D4
ヵ 8395 4359
ヶ 8396 435A
Α 839F 4161
Β 83A0 4162
Γ 83A1 4163
Δ 83A2 4164
Ε 83A3 4165
Ζ 83A4 4166
Η 83A5 4167
Θ 83A6 4168
Ι 83A7 4169
Κ 83A8 416A
Λ 83A9 416B
Μ 83AA 416C
Ν 83AB 416D
Ξ 83AC 416E
Ο 83AD 416F
Π 83AE 4170
Ρ 83AF 4171
Σ 83B0 4172
Τ 83B1 4173
Υ 83B2 4174
Φ 83B3 4175
Χ 83B4 4176
Ψ 83B5 4177
Ω 83B6 4178
α 83BF 4141
β 83C0 4142
γ 83C1 4143
δ 83C2 4144
ε 83C3 4145
ζ 83C4 4146
η 83C5 4147
θ 83C6 4148
ι 83C7 4149
κ 83C8 414A
λ 83C9 414B
μ 83CA 414C
ν 83CB 414D
ξ 83CC 414E
ο 83CD 414F
π 83CE 4150
ρ 83CF 4151
σ 83D0 4152
τ 83D1 4153
υ 83D2 4154
φ 83D3 4155
χ 83D4 4156
ψ 83D5 4157
ω 83D6 4158
А 8440 41C0
Б 8441 41C1
В 8442 41C2
Г 8443 41C3
Д 8444 41C4
Е 8445 41C5
Ё 8446 41C6
Ж 8447 41C7
З 8448 41C8
И 8449 41C9
Й 844A 41CA
К 844B 41CB
Л 844C 41CC
М 844D 41CD
Н 844E 41CE
О 844F 41CF
П 8450 41D0
Р 8451 41D1
С 8452 41D2
Т 8453 41D3
У 8454 41D4
Ф 8455 41D5
Х 8456 41D6
Ц 8457 41D7
Ч 8458 41D8
Ш 8459 41D9
Щ 845A 41DA
Ъ 845B 41DB
Ы 845C 41DC
Ь 845D 41DD
Э 845E 41DE
Ю 845F 41DF
Я 8460 41E0
а 8470 4180
б 8471 4181
в 8472 4182
г 8473 4183
д 8474 4184
е 8475 4185
ё 8476 4186
ж 8477 4187
з 8478 4188
и 8479 4189
й 847A 418A
к 847B 418B
л 847C 418C
м 847D 418D
н 847E 418E
о 8480 418F
п 8481 4190
р 8482 4191
с 8483 4192
т 8484 4193
у 8485 4194
ф 8486 4195
х 8487 4196
ц 8488 4197
ч 8489 4198
ш 848A 4199
щ 848B 419A
ъ 848C 419B
ы 848D 419C
ь 848E 419D
э 848F 419E
ю 8490 419F
я 8491 41A0
─ 849F 437C
│ 84A0 437D
┌ 84A1 437E
┐ 84A2 437F
┘ 84A3 43B0
└ 84A4 43B1
├ 84A5 43B2
┬ 84A6 43B3
┤ 84A7 43B4
┴ 84A8 43B5
┼ 84A9 43B6
━ 84AA 43B7
┃ 84AB 43B8
┏ 84AC 43B9
┓ 84AD 43E1
┛ 84AE 43E2
┗ 84AF 43E3
┣ 84B0 43E4
┳ 84B1 43E5
┫ 84B2 43E6
┻ 84B3 43E7
╋ 84B4 43E8
┠ 84B5 43E9
┯ 84B6 43EA
┨ 84B7 43EB
┷ 84B8 43EC
┿ 84B9 43ED
┝ 84BA 43EE
┰ 84BB 43EF
┥ 84BC 43F0
┸ 84BD 43F1
╂ 84BE 43F2
￢ FA54 425F
∵ FA5B 4478
亜 889F 4867
唖 88A0 54D4
娃 88A1 557A
阿 88A2 46AE
哀 88A3 4EF9
愛 88A4 45C6
挨 88A5 4F81
姶 88A6 5179
逢 88A7 4DCE
葵 88A8 50D9
茜 88A9 50E2
穐 88AA 509B
悪 88AB 4965
握 88AC 4D60
渥 88AD 4E43
旭 88AE 47EC
葦 88AF 4E72
芦 88B0 4ADD
鰺 88B1 51F0
梓 88B2 50DA
圧 88B3 4782
斡 88B4 5581
扱 88B5 4C69
宛 88B6 50AB
姐 88B7 549C
虻 88B8 5144
飴 88B9 5245
絢 88BA 4EF7
綾 88BB 49DC
鮎 88BC 4F8E
或 88BD 4D7F
粟 88BE 4BFB
袷 88BF 5448
安 88C0 45A8
庵 88C1 4EEB
按 88C2 5489
暗 88C3 4BE2
案 88C4 48F1
闇 88C5 5364
鞍 88C6 504C
杏 88C7 50D0
以 88C8 46F6
伊 88C9 45B2
位 88CA 47C8
依 88CB 4A9E
偉 88CC 4DFB
囲 88CD 4AFA
夷 88CE 5147
委 88CF 484F
威 88D0 4C65
尉 88D1 5189
惟 88D2 4FE0
意 88D3 4763
慰 88D4 4FAD
易 88D5 47E9
椅 88D6 4FF7
為 88D7 49D7
畏 88D8 558F
異 88D9 4AA9
移 88DA 4975
維 88DB 4880
緯 88DC 4E9A
胃 88DD 4DF6
萎 88DE 5482
衣 88DF 4AEA
謂 88E0 5573
違 88E1 49BC
遺 88E2 4CDA
医 88E3 4A87
井 88E4 456D
亥 88E5 4F7F
域 88E6 48E9
育 88E7 48AC
郁 88E8 49B3
磯 88E9 48AA
一 88EA 4541
壱 88EB 4EB0
溢 88EC 5271
逸 88ED 4AD6
稲 88EE 476A
茨 88EF 474C
芋 88F0 519A
鰯 88F1 55C8
允 88F2 4C91
印 88F3 4799
咽 88F4 52B1
員 88F5 46CB
因 88F6 4A49
姻 88F7 52B9
引 88F8 46DA
飲 88F9 4BA3
淫 88FA 554E
胤 88FB 4EE9
蔭 88FC 4E8B
院 8940 49D8
陰 8941 4CD2
隠 8942 4EAE
韻 8943 5577
吋 8944 55BC
右 8945 485A
宇 8946 46D5
烏 8947 5099
羽 8948 478F
迂 8949 55DF
雨 894A 49DD
卯 894B 4C82
鵜 894C 4BE7
窺 894D 559E
丑 894E 4DEC
碓 894F 4FB1
臼 8950 4A89
渦 8951 51A0
嘘 8952 50F3
唄 8953 4CDB
欝 8954 55F7
蔚 8955 549A
鰻 8956 54AB
姥 8957 5255
厩 8958 5367
浦 8959 466B
瓜 895A 4E64
閏 895B 545F
噂 895C 529B
云 895D 499D
運 895E 46AB
雲 895F 4ABC
荏 8960 515F
餌 8961 50A7
叡 8962 5194
営 8963 48D3
嬰 8964 55E8
影 8965 495E
映 8966 47AC
曳 8967 4EBC
栄 8968 45FA
永 8969 45FB
泳 896A 4F57
洩 896B 50B7
瑛 896C 4F52
盈 896D 51B5
穎 896E 5254
頴 896F 5576
英 8970 45EE
衛 8971 4780
詠 8972 51C1
鋭 8973 4D6F
液 8974 4A45
疫 8975 50CE
益 8976 4774
駅 8977 49AC
悦 8978 4873
謁 8979 54E5
越 897A 46DF
閲 897B 5177
榎 897C 49EB
厭 897D 53B7
円 897E 4645
園 8980 47E1
堰 8981 50A4
奄 8982 52F2
宴 8983 5078
延 8984 47D0
怨 8985 54DE
掩 8986 55D0
援 8987 4AD5
沿 8988 4E6F
演 8989 49ED
炎 898A 4DAD
焔 898B 53EE
煙 898C 4BDD
燕 898D 5047
猿 898E 4C5A
縁 898F 4BAA
艶 8990 4D54
苑 8991 504B
薗 8992 4CEC
遠 8993 46E3
鉛 8994 49D4
鴛 8995 52C3
塩 8996 4743
於 8997 4DA4
汚 8998 4E82
甥 8999 55D7
凹 899A 50E6
央 899B 4792
奥 899C 46E5
往 899D 4CEA
応 899E 4895
押 899F 49E1
旺 89A0 4FA3
横 89A1 45F2
欧 89A2 4AA0
殴 89A3 5459
王 89A4 49B1
翁 89A5 4FFB
襖 89A6 546C
鶯 89A7 50E5
鴎 89A8 5464
黄 89A9 4AC6
岡 89AA 4572
沖 89AB 47FD
荻 89AC 49E0
億 89AD 454E
屋 89AE 45E9
憶 89AF 4E6C
臆 89B0 5474
桶 89B1 4E77
牡 89B2 509A
乙 89B3 4BBD
俺 89B4 4E67
卸 89B5 4E79
恩 89B6 4C81
温 89B7 4950
穏 89B8 50B8
音 89B9 484D
下 89BA 455F
化 89BB 4590
仮 89BC 4D71
何 89BD 4770
伽 89BE 5461
価 89BF 475A
佳 89C0 4876
加 89C1 459F
可 89C2 47C6
嘉 89C3 477E
夏 89C4 497E
嫁 89C5 4E89
家 89C6 4686
寡 89C7 52B8
科 89C8 48ED
暇 89C9 4F46
果 89CA 47B9
架 89CB 4EE8
歌 89CC 46F7
河 89CD 465A
火 89CE 4785
珂 89CF 4C9A
禍 89D0 5286
禾 89D1 5463
稼 89D2 4DBE
箇 89D3 4F51
花 89D4 46D9
苛 89D5 5377
茄 89D6 547A
荷 89D7 4BA1
華 89D8 4B6C
菓 89D9 4C51
蝦 89DA 51C3
課 89DB 49D6
嘩 89DC 52CA
貨 89DD 4AEB
迦 89DE 535D
過 89DF 488D
霞 89E0 4EE4
蚊 89E1 4FAA
俄 89E2 54C7
峨 89E3 4F9D
我 89E4 49DE
牙 89E5 53FC
画 89E6 4677
臥 89E7 538A
芽 89E8 4EBA
蛾 89E9 5599
賀 89EA 4641
雅 89EB 4745
餓 89EC 554B
駕 89ED 53BE
介 89EE 484B
会 89EF 45BD
解 89F0 47B7
回 89F1 46A9
塊 89F2 5053
壊 89F3 4EC8
廻 89F4 4BAF
快 89F5 4C60
怪 89F6 4E71
悔 89F7 5091
恢 89F8 5594
懐 89F9 4EF2
戒 89FA 4DA0
拐 89FB 53A2
改 89FC 488F
魁 8A40 52CB
晦 8A41 556D
械 8A42 4682
海 8A43 45A7
灰 8A44 4AF5
界 8A45 47AE
皆 8A46 4AB0
絵 8A47 4AE4
芥 8A48 4F7B
蟹 8A49 5090
開 8A4A 46CD
階 8A4B 49A9
貝 8A4C 49EA
凱 8A4D 51AC
劾 8A4E 556A
外 8A4F 4694
咳 8A50 53E9
害 8A51 4968
崖 8A52 5074
慨 8A53 528A
概 8A54 4C42
涯 8A55 4F91
碍 8A56 5356
蓋 8A57 4F6D
街 8A58 4BA5
該 8A59 4D8D
鎧 8A5A 546D
骸 8A5B 559C
浬 8A5C 55CC
馨 8A5D 4B85
蛙 8A5E 55BB
垣 8A5F 47CE
柿 8A60 4AC1
蠣 8A61 5351
鈎 8A62 538F
劃 8A63 55D6
嚇 8A64 55D8
各 8A65 47BA
廓 8A66 54AD
拡 8A67 48E5
攪 8A68 527F
格 8A69 47DE
核 8A6A 4B9E
殻 8A6B 50C0
獲 8A6C 4D61
確 8A6D 487A
穫 8A6E 4F5C
覚 8A6F 4A4C
角 8A70 477D
赫 8A71 53CC
較 8A72 4A5A
郭 8A73 5162
閣 8A74 4AE9
隔 8A75 505A
革 8A76 4AA3
学 8A77 45BE
岳 8A78 4D46
楽 8A79 4761
額 8A7A 47F1
顎 8A7B 548E
掛 8A7C 4AE3
笠 8A7D 47E0
樫 8A7E 4B6F
橿 8A80 4FB2
梶 8A81 49AD
鰍 8A82 5571
潟 8A83 46C2
割 8A84 47D6
喝 8A85 5475
恰 8A86 5384
括 8A87 4FC5
活 8A88 47B4
渇 8A89 5441
滑 8A8A 4BA2
葛 8A8B 48DF
褐 8A8C 545E
轄 8A8D 50FE
且 8A8E 4F97
鰹 8A8F 53D5
叶 8A90 4F59
椛 8A91 5163
樺 8A92 4E69
鞄 8A93 5445
株 8A94 4856
兜 8A95 51BE
竈 8A96 52F0
蒲 8A97 49B2
釜 8A98 4ACC
鎌 8A99 4962
噛 8A9A 547D
鴨 8A9B 4C54
栢 8A9C 5242
茅 8A9D 4BD3
萱 8A9E 4F7C
粥 8A9F 52AB
刈 8AA0 4B9B
苅 8AA1 4E5D
瓦 8AA2 49C2
乾 8AA3 4970
侃 8AA4 4F98
冠 8AA5 4E7B
寒 8AA6 4B81
刊 8AA7 4CD7
勘 8AA8 4B9A
勧 8AA9 4C7E
巻 8AAA 4893
喚 8AAB 52B5
堪 8AAC 4FAC
姦 8AAD 55DE
完 8AAE 48C5
官 8AAF 49A2
寛 8AB0 47F8
干 8AB1 4A6F
幹 8AB2 48DA
患 8AB3 4DEB
感 8AB4 47F7
慣 8AB5 4DD3
憾 8AB6 51A5
換 8AB7 49AA
敢 8AB8 4FCF
柑 8AB9 4EC1
桓 8ABA 536D
棺 8ABB 55B6
款 8ABC 4EFB
歓 8ABD 4D4E
汗 8ABE 4EC4
漢 8ABF 4F58
澗 8AC0 54BA
灌 8AC1 53EA
環 8AC2 4AB9
甘 8AC3 4B55
監 8AC4 49E3
看 8AC5 4DA2
竿 8AC6 5287
管 8AC7 46F2
簡 8AC8 4BEC
緩 8AC9 4CFC
缶 8ACA 5084
翰 8ACB 54B6
肝 8ACC 4C8C
艦 8ACD 4C4A
莞 8ACE 51EE
観 8ACF 487E
諫 8AD0 4E96
貫 8AD1 49A1
還 8AD2 4DA9
鑑 8AD3 4E4E
間 8AD4 45C1
閑 8AD5 4DD9
関 8AD6 45C5
陥 8AD7 4FFE
韓 8AD8 4E75
館 8AD9 4862
舘 8ADA 4CAA
丸 8ADB 467A
含 8ADC 49CB
岸 8ADD 4748
巌 8ADE 49CF
玩 8ADF 4E4C
癌 8AE0 5447
眼 8AE1 49A5
岩 8AE2 45BF
翫 8AE3 558B
贋 8AE4 5584
雁 8AE5 51A4
頑 8AE6 539D
顔 8AE7 48B8
願 8AE8 4C57
企 8AE9 47D2
伎 8AEA 4E9F
危 8AEB 4B91
喜 8AEC 45D1
器 8AED 45FC
基 8AEE 46F1
奇 8AEF 4D69
嬉 8AF0 4F8B
寄 8AF1 49DF
岐 8AF2 474A
希 8AF3 4AB5
幾 8AF4 4B57
忌 8AF5 5097
揮 8AF6 4BF2
机 8AF7 4D96
旗 8AF8 4DAB
既 8AF9 4B77
期 8AFA 468B
棋 8AFB 4EF1
棄 8AFC 4EB1
機 8B40 4579
帰 8B41 4982
毅 8B42 4A5B
気 8B43 45B9
汽 8B44 494C
畿 8B45 50D4
祈 8B46 4ED8
季 8B47 4AEC
稀 8B48 5264
紀 8B49 46DB
徽 8B4A 55E0
規 8B4B 46FB
記 8B4C 4794
貴 8B4D 487F
起 8B4E 48D0
軌 8B4F 4DAA
輝 8B50 4787
飢 8B51 53CE
騎 8B52 5058
鬼 8B53 4AC8
亀 8B54 47C0
偽 8B55 5059
儀 8B56 49CA
妓 8B57 5395
宜 8B58 4D8B
戯 8B59 4F92
技 8B5A 48F7
擬 8B5B 4FCD
欺 8B5C 517D
犠 8B5D 4FDC
疑 8B5E 4CB4
祇 8B5F 5192
義 8B60 4598
蟻 8B61 51C6
誼 8B62 5265
議 8B63 4781
掬 8B64 5541
菊 8B65 46D7
鞠 8B66 51ED
吉 8B67 457E
吃 8B68 55EA
喫 8B69 4D6D
桔 8B6A 534B
橘 8B6B 4BC2
詰 8B6C 4B5F
砧 8B6D 5248
杵 8B6E 4AA6
黍 8B6F 55AE
却 8B70 4AA4
客 8B71 4ADE
脚 8B72 4D5C
虐 8B73 5260
逆 8B74 4BFC
丘 8B75 4D56
久 8B76 458A
仇 8B77 5085
休 8B78 4A81
及 8B79 485C
吸 8B7A 4B98
宮 8B7B 4592
弓 8B7C 4B63
急 8B7D 47CC
救 8B7E 4C5C
朽 8B80 50F0
求 8B81 49A0
汲 8B82 50C8
泣 8B83 4D4B
灸 8B84 5473
球 8B85 48DB
究 8B86 4986
窮 8B87 50AA
笈 8B88 51CF
級 8B89 49F3
糾 8B8A 51FE
給 8B8B 4757
旧 8B8C 4C7B
牛 8B8D 4973
去 8B8E 4ACA
居 8B8F 485E
巨 8B90 4A52
拒 8B91 4F61
拠 8B92 4D77
挙 8B93 4B82
渠 8B94 527A
虚 8B95 4F72
許 8B96 4A9A
距 8B97 4DC2
鋸 8B98 51E7
漁 8B99 4B78
禦 8B9A 55AA
魚 8B9B 48EE
亨 8B9C 4BAC
享 8B9D 4B73
京 8B9E 4575
供 8B9F 48BC
侠 8BA0 52EC
僑 8BA1 55AD
兇 8BA2 555A
競 8BA3 4971
共 8BA4 47B3
凶 8BA5 51EC
協 8BA6 47D7
匡 8BA7 4D4D
卿 8BA8 53E2
叫 8BA9 4DD5
喬 8BAA 4C5F
境 8BAB 4A95
峡 8BAC 51B3
強 8BAD 46D2
彊 8BAE 5385
怯 8BAF 5542
恐 8BB0 4BD5
恭 8BB1 494E
挟 8BB2 55B1
教 8BB3 47A5
橋 8BB4 4589
況 8BB5 4A58
狂 8BB6 4E5A
狭 8BB7 4C9E
矯 8BB8 51BB
胸 8BB9 4BE3
脅 8BBA 5051
興 8BBB 466A
蕎 8BBC 5565
郷 8BBD 4995
鏡 8BBE 4A8D
響 8BBF 4A5C
饗 8BC0 51D5
驚 8BC1 4CD5
仰 8BC2 4DED
凝 8BC3 4ED9
堯 8BC4 4E53
暁 8BC5 4C83
業 8BC6 456B
局 8BC7 488B
曲 8BC8 49B6
極 8BC9 49B7
玉 8BCA 45FD
桐 8BCB 49C0
粁 8BCC 55E7
僅 8BCD 4FC9
勤 8BCE 499F
均 8BCF 49AE
巾 8BD0 4A7D
錦 8BD1 4B8E
斤 8BD2 54CF
欣 8BD3 4B9D
欽 8BD4 4CF8
琴 8BD5 4CD8
禁 8BD6 4D75
禽 8BD7 555D
筋 8BD8 4B8F
緊 8BD9 4B97
芹 8BDA 4DD0
菌 8BDB 4C73
衿 8BDC 4AA7
襟 8BDD 54AF
謹 8BDE 4D87
近 8BDF 4673
金 8BE0 4586
吟 8BE1 507A
銀 8BE2 478C
九 8BE3 4549
倶 8BE4 4F63
句 8BE5 4C8B
区 8BE6 4554
狗 8BE7 5274
玖 8BE8 4DE9
矩 8BE9 4E4D
苦 8BEA 4A5F
躯 8BEB 5353
駆 8BEC 4CFE
駈 8BED 4F85
駒 8BEE 49FC
具 8BEF 47AF
愚 8BF0 52B2
虞 8BF1 5588
喰 8BF2 4EB9
空 8BF3 478D
偶 8BF4 50C3
寓 8BF5 55F4
遇 8BF6 49EC
隅 8BF7 4BB9
串 8BF8 4CB8
櫛 8BF9 4DA6
釧 8BFA 4BF0
屑 8BFB 54B2
屈 8BFC 4D94
掘 8C40 4D44
窟 8C41 50A6
沓 8C42 4FF8
靴 8C43 4DF1
轡 8C44 52E1
窪 8C45 4A65
熊 8C46 467F
隈 8C47 4CE5
粂 8C48 4E85
栗 8C49 479B
繰 8C4A 4B69
桑 8C4B 4879
鍬 8C4C 4F70
勲 8C4D 497A
君 8C4E 47CF
薫 8C4F 4998
訓 8C50 4BC8
群 8C51 47B1
軍 8C52 4897
郡 8C53 499E
卦 8C54 53DB
袈 8C55 4F6A
祁 8C56 53D2
係 8C57 4851
傾 8C58 4A43
刑 8C59 4C52
兄 8C5A 4BE8
啓 8C5B 47E4
圭 8C5C 49E6
珪 8C5D 4CB9
型 8C5E 46E6
契 8C5F 4C64
形 8C60 4690
径 8C61 4E60
恵 8C62 4643
慶 8C63 48A8
慧 8C64 4EB6
憩 8C65 5175
掲 8C66 4DC1
携 8C67 4E49
敬 8C68 47B0
景 8C69 4993
桂 8C6A 49AB
渓 8C6B 5198
畦 8C6C 51B4
稽 8C6D 4FC7
系 8C6E 48FA
経 8C6F 4688
継 8C70 4A4A
繋 8C71 5373
罫 8C72 55EF
茎 8C73 4EC9
荊 8C74 53B3
蛍 8C75 4DF9
計 8C76 45C9
詣 8C77 54FB
警 8C78 4AD7
軽 8C79 48A6
頸 8C7A 50FB
鶏 8C7B 4D8E
芸 8C7C 4953
迎 8C7D 4BA9
鯨 8C7E 4D78
劇 8C80 49F0
戟 8C81 54D9
撃 8C82 4A74
激 8C83 4BD0
隙 8C84 53C3
桁 8C85 50D6
傑 8C86 4FC3
欠 8C87 4CB5
決 8C88 47A4
潔 8C89 4AC2
穴 8C8A 4B86
結 8C8B 46BF
血 8C8C 4B43
訣 8C8D 54CC
月 8C8E 4561
件 8C8F 48B2
倹 8C90 52FA
倦 8C91 52F1
健 8C92 4681
兼 8C93 48F4
券 8C94 4B6B
剣 8C95 4CD3
喧 8C96 4FD3
圏 8C97 4F49
堅 8C98 4AE7
嫌 8C99 4EC3
建 8C9A 4666
憲 8C9B 47BE
懸 8C9C 4DC6
拳 8C9D 508D
捲 8C9E 5493
検 8C9F 486D
権 8CA0 48DC
牽 8CA1 548A
犬 8CA2 4AC5
献 8CA3 4F45
研 8CA4 46D3
硯 8CA5 5369
絹 8CA6 49F6
県 8CA7 4552
肩 8CA8 4B79
見 8CA9 45BB
謙 8CAA 497C
賢 8CAB 47E5
軒 8CAC 4E55
遣 8CAD 4EC2
鍵 8CAE 4E45
険 8CAF 4A6C
顕 8CB0 4AE5
験 8CB1 48B4
鹸 8CB2 4C7D
元 8CB3 4695
原 8CB4 4574
厳 8CB5 4C8E
幻 8CB6 50A2
弦 8CB7 4E42
減 8CB8 478A
源 8CB9 47FC
玄 8CBA 4C6E
現 8CBB 46B7
絃 8CBC 5563
舷 8CBD 53AC
言 8CBE 479A
諺 8CBF 55AB
限 8CC0 48AD
乎 8CC1 54A5
個 8CC2 49FA
古 8CC3 45D4
呼 8CC4 4AF6
固 8CC5 4A94
姑 8CC6 53F2
孤 8CC7 4EAF
己 8CC8 47AD
庫 8CC9 45F8
弧 8CCA 536B
戸 8CCB 45CF
故 8CCC 4AF7
枯 8CCD 5061
湖 8CCE 4D52
狐 8CCF 51DB
糊 8CD0 5471
袴 8CD1 4F5A
股 8CD2 4CC5
胡 8CD3 4D63
菰 8CD4 516D
虎 8CD5 4AAB
誇 8CD6 4EB4
跨 8CD7 55CB
鈷 8CD8 55BF
雇 8CD9 4C4D
顧 8CDA 4EEE
鼓 8CDB 4FAF
五 8CDC 4545
互 8CDD 4B74
伍 8CDE 4D99
午 8CDF 45DF
呉 8CE0 4AEE
吾 8CE1 47F6
娯 8CE2 50B5
後 8CE3 45E5
御 8CE4 4698
悟 8CE5 4AB1
梧 8CE6 52D3
檎 8CE7 55EE
瑚 8CE8 53F1
碁 8CE9 4F4E
語 8CEA 48E7
誤 8CEB 4D91
護 8CEC 49DB
醐 8CED 5170
乞 8CEE 4EB5
鯉 8CEF 4FC6
交 8CF0 478E
佼 8CF1 5462
侯 8CF2 53E3
候 8CF3 4CAE
倖 8CF4 5343
光 8CF5 459E
公 8CF6 46BB
功 8CF7 4870
効 8CF8 4978
勾 8CF9 51E9
厚 8CFA 4942
口 8CFB 4588
向 8CFC 46A5
后 8D40 51AF
喉 8D41 5253
坑 8D42 4EF3
垢 8D43 5466
好 8D44 469E
孔 8D45 4BD9
孝 8D46 45F4
宏 8D47 46C8
工 8D48 456A
巧 8D49 4CA3
巷 8D4A 53CB
幸 8D4B 45A9
広 8D4C 45B7
庚 8D4D 515A
康 8D4E 469A
弘 8D4F 45D3
恒 8D50 47C7
慌 8D51 538E
抗 8D52 4A67
拘 8D53 5045
控 8D54 4CAC
攻 8D55 4BC5
昻 8D56 4F9F
晃 8D57 48B0
更 8D58 4A6D
杭 8D59 508B
校 8D5A 48BF
梗 8D5B 52CC
構 8D5C 4796
江 8D5D 45AD
洪 8D5E 4FD4
浩 8D5F 46EB
港 8D60 48C6
溝 8D61 4A4D
甲 8D62 48A0
皇 8D63 4CBB
硬 8D64 4AEF
稿 8D65 4FD5
糠 8D66 514B
紅 8D67 4B67
紘 8D68 4C78
絞 8D69 506D
綱 8D6A 48CB
耕 8D6B 499A
考 8D6C 4760
肯 8D6D 50EB
肱 8D6E 52D5
腔 8D6F 5247
膏 8D70 51D8
航 8D71 489F
荒 8D72 46DC
行 8D73 45A4
衡 8D74 4BED
講 8D75 4A6E
貢 8D76 4AF1
購 8D77 4E8F
郊 8D78 5052
酵 8D79 4D86
鉱 8D7A 4863
礦 8D7B 51B9
鋼 8D7C 46A1
閤 8D7D 549B
降 8D7E 49E5
項 8D80 4A97
香 8D81 46BD
高 8D82 4571
鴻 8D83 4DD6
剛 8D84 49C7
劫 8D85 54C6
号 8D86 48E2
合 8D87 45A0
壕 8D88 55B9
拷 8D89 55B5
濠 8D8A 5380
豪 8D8B 4C68
轟 8D8C 50A9
麹 8D8D 5261
克 8D8E 479E
刻 8D8F 4BF5
告 8D90 4954
国 8D91 458F
穀 8D92 4E94
酷 8D93 51EB
鵠 8D94 50FD
黒 8D95 4679
獄 8D96 4E95
漉 8D97 54D0
腰 8D98 4BA4
甑 8D99 5495
忽 8D9A 5056
惚 8D9B 549D
骨 8D9C 4AA5
狛 8D9D 50DC
込 8D9E 4841
此 8D9F 4D4C
頃 8DA0 4946
今 8DA1 45E0
困 8DA2 4B44
坤 8DA3 53A6
墾 8DA4 5488
婚 8DA5 4A77
恨 8DA6 53B8
懇 8DA7 4EA4
昏 8DA8 54E8
昆 8DA9 4FE7
根 8DAA 4667
梱 8DAB 5359
混 8DAC 4B46
痕 8DAD 53FD
紺 8DAE 4CBD
艮 8DAF 55B4
魂 8DB0 50A8
些 8DB1 55DC
佐 8DB2 4576
叉 8DB3 50A5
唆 8DB4 51B8
嵯 8DB5 4ED3
左 8DB6 485B
差 8DB7 498B
査 8DB8 4773
沙 8DB9 4EAD
瑳 8DBA 5188
砂 8DBB 495B
詐 8DBC 5176
鎖 8DBD 4D70
裟 8DBE 4F8A
坐 8DBF 4E8D
座 8DC0 48B1
挫 8DC1 548F
債 8DC2 4B58
催 8DC3 4C43
再 8DC4 48EB
最 8DC5 46F5
哉 8DC6 4A6B
塞 8DC7 53C1
妻 8DC8 49A3
宰 8DC9 4ED4
彩 8DCA 4DCD
才 8DCB 49F1
採 8DCC 4B4F
栽 8DCD 4DE0
歳 8DCE 48E4
済 8DCF 4769
災 8DD0 4CBC
采 8DD1 53BF
犀 8DD2 5354
砕 8DD3 4CC3
砦 8DD4 54B4
祭 8DD5 4C71
斎 8DD6 47DB
細 8DD7 4768
菜 8DD8 4BA8
裁 8DD9 49BD
載 8DDA 4D6E
際 8DDB 4797
剤 8DDC 4766
在 8DDD 47CD
材 8DDE 46BC
罪 8DDF 4C4E
財 8DE0 49AF
冴 8DE1 50C9
坂 8DE2 45EC
阪 8DE3 4591
堺 8DE4 4A7C
榊 8DE5 4B52
肴 8DE6 5451
咲 8DE7 4CDE
崎 8DE8 457F
埼 8DE9 46A3
碕 8DEA 52D2
鷺 8DEB 50AF
作 8DEC 4594
削 8DED 4A90
咋 8DEE 4F50
搾 8DEF 50A3
昨 8DF0 48E8
朔 8DF1 4FA4
柵 8DF2 51F1
窄 8DF3 5499
策 8DF4 46C9
索 8DF5 4CF4
錯 8DF6 50B1
桜 8DF7 4771
鮭 8DF8 5391
笹 8DF9 496E
匙 8DFA 5457
冊 8DFB 4EA1
刷 8DFC 48CF
察 8E40 4B93
拶 8E41 4F9E
撮 8E42 4C77
擦 8E43 4FD6
札 8E44 48F9
殺 8E45 49E9
薩 8E46 4CF1
雑 8E47 4A8A
皐 8E48 52A4
鯖 8E49 4FE4
捌 8E4A 557D
錆 8E4B 55D2
鮫 8E4C 4EB7
皿 8E4D 4DC7
晒 8E4E 54C3
三 8E4F 4543
傘 8E50 509C
参 8E51 48D2
山 8E52 4565
惨 8E53 506E
撒 8E54 53DE
散 8E55 4AC9
桟 8E56 51F3
燦 8E57 54CE
珊 8E58 5399
産 8E59 45C0
